"","locality_id","latitude","longitude","n_records"
"1","L10004169",27.104176,-80.657637,1
"2","L10016830",29.619861,-82.327349,1
"3","L10026511",26.768291,-81.267797,1
"4","L10026855",29.6197242,-82.3296708,2
"5","L10030281",26.511304,-80.205396,1
"6","L10033246",25.7607449,-80.5612636,1
"7","L10045870",28.29042,-81.40204,1
"8","L10062133",28.065797,-81.945632,1
"9","L10062956",26.66469,-80.069353,1
"10","L10075805",29.620479,-82.327905,1
"11","L10075825",29.619939,-82.328371,1
"12","L10075944",29.574141,-82.33473,1
"13","L10077289",26.512075,-81.777508,2
"14","L10078921",25.9479558,-81.7052991,1
"15","L10080674",29.583324,-82.337859,1
"16","L10080830",26.07659,-80.279755,1
"17","L10081270",26.51483,-81.765456,1
"18","L10083637",28.4528943,-80.8962884,1
"19","L10084484",26.3591056,-80.6367706,1
"20","L10098978",29.574203,-82.334184,1
"21","L10101578",25.777716,-80.786748,1
"22","L10104745",26.3074,-81.28783,1
"23","L10105408",28.2879088,-81.4083215,1
"24","L10110214",27.743091,-80.635961,1
"25","L10111761",29.57942,-82.3367655,1
"26","L10113062",27.8713376,-81.1712988,1
"27","L1011494",28.4179283,-82.6581287,14
"28","L10129324",26.85821,-81.95578,1
"29","L10133077",26.4575341,-80.8178768,1
"30","L10136639",29.556853,-82.329849,1
"31","L10139092",26.0713023,-81.6770386,3
"32","L10144117",26.7788425,-80.1255208,1
"33","L1015140",28.0454136,-82.7083611,1
"34","L10153691",26.179378,-81.784322,1
"35","L10157815",29.5650577,-82.3313919,2
"36","L1017638",26.631443,-80.2332294,5
"37","L10176809",27.286371,-80.454713,1
"38","L10180629",29.620032,-82.328531,1
"39","L10184745",27.3132184,-80.3264763,1
"40","L10185455",26.1575248,-81.686184,1
"41","L1018766",27.9238236,-80.4833238,1
"42","L10188958",28.9433129,-81.3653166,1
"43","L10189089",26.0129662,-81.6218205,187
"44","L10194654",25.813941,-80.759327,1
"45","L10197462",28.5018827,-82.1825696,3
"46","L10197523",25.769765,-80.7511,1
"47","L10200485",26.010925,-81.622139,3
"48","L10200528",29.5588312,-82.63867,1
"49","L10202291",28.501889,-82.182583,1
"50","L10206682",29.619102,-82.327036,1
"51","L10206684",29.619166,-82.326882,1
"52","L1021026",27.1633352,-80.1928139,1
"53","L10215145",29.61076,-82.304779,1
"54","L1022234",26.426309,-81.2878418,1
"55","L1022489",26.6510498,-81.6870618,1
"56","L10227453",27.3277717,-80.4516556,1
"57","L10233497",28.864458,-81.3144,1
"58","L1023544",26.6293528,-80.3059387,91
"59","L10240446",26.009557,-81.6159498,1
"60","L10240690",26.9148944,-81.0229803,1
"61","L1024865",26.6566161,-81.6914338,1
"62","L10259384",29.107383,-81.371652,1
"63","L10266039",27.252684,-80.437476,1
"64","L10268529",28.058749,-81.948047,1
"65","L10270856",28.2022718,-81.3750795,1
"66","L10273747",29.614844,-82.322564,2
"67","L10275955",28.1853554,-81.3514556,1
"68","L1027913",26.6836236,-80.3512144,16
"69","L10280631",29.60612,-82.302663,1
"70","L10281574",28.903197,-81.806391,7
"71","L10290276",27.5930482,-80.3967858,1
"72","L10290744",28.344825,-81.604413,1
"73","L10296473",29.620335,-82.323693,1
"74","L10302330",25.9101692,-80.1323334,1
"75","L10306863",27.937326,-81.225875,1
"76","L10314299",27.936237,-81.226366,1
"77","L10316142",27.6393772,-80.4497282,1
"78","L10316780",27.9468476,-81.9292152,1
"79","L10318424",29.607159,-82.303233,1
"80","L10318488",29.6069658,-82.3028762,1
"81","L10323734",29.619983,-82.327508,1
"82","L10325105",28.697484,-81.038645,1
"83","L10343686",28.4164653,-82.6615614,1
"84","L10344609",28.187891,-81.423532,1
"85","L10349360",25.891593,-81.26953,1
"86","L1035705",26.6497601,-81.6872978,1
"87","L10360791",29.619964,-82.327377,1
"88","L10366124",27.288453,-80.43687,2
